,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample
40,Product,Gaussian,-30.45,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,-0.1635,86.87874520300011,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.7762,0.18,-0.1488,-0.1926,-0.149,0.0158
44,Matern32,Gaussian,115.24,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,0.166,77.09500820899984,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0118,0.0086,0.1885,0.1975,0.112,-0.0006
18,Matern32,Gaussian,150.1,"$f(t, S(t)+I(t))$",15,-0.194,78.29469322500006,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0166,0.0052,-0.0895,-0.169,-0.3235,-0.0001
45,Matern32,Gaussian,150.09,"$f(t, S(t)*I(t))$",15,-0.1946,80.95120570800009,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0165,0.0052,-0.0899,-0.1697,-0.3243,-0.0001
54,Matern32,Gaussian,154.21,"$f(t, S(t), I(t))$",15,-0.2192,77.39134065999997,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0511,0.0047,-0.169,-0.2194,-0.2692,-0.0001
32,Sum,Gaussian,128.67,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.2995,76.5784845219996,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0116,0.007,-0.0807,-0.2635,-0.5542,0.0002
15,Product,Gaussian,124.9,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.3398,89.04215047399975,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0633,0.0084,-0.1622,-0.3349,-0.5225,0.0043
29,Sum,Gaussian,127.39,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3451,76.08879451099983,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1134,-0.3105,-0.6116,0.0003
31,Sum,Gaussian,127.39,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3465,86.97732546499992,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1141,-0.3118,-0.6135,0.0003
21,Matern32,Gaussian,142.33,"$f(S(t), I(t))$",15,0.3491,69.76048936500001,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2066,0.0057,0.0613,0.34,0.6459,-0.0001
1,Product,Gaussian,116.45,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3635,88.44194549800022,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0923,-0.3149,-0.6834,0.0016
3,Product,Gaussian,116.45,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3643,93.34632466100038,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0927,-0.3157,-0.6845,0.0016
10,Product,Gaussian,151.55,"$f(t, S(t), I(t))$",15,-0.3705,90.50018077599998,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1773,0.0053,-0.1966,-0.3488,-0.5662,0.0008
5,Product,Gaussian,152.46,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4069,87.32279620499958,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0121,0.005,-0.146,-0.3672,-0.7076,0.0011
7,Product,Gaussian,187.47,"$f(t, S(t)*I(t))$",15,-0.4148,87.31276495799966,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.031,0.0044,-0.1996,-0.3764,-0.6683,0.0008
33,Product,Gaussian,188.57,"$f(t, S(t)+I(t))$",15,-0.4365,89.36924976399996,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0284,0.0041,-0.2136,-0.3986,-0.6974,0.0008
25,Sum,Gaussian,143.54,"$f(t, S(t)*I(t), Home(t))$",15,-0.4385,78.7659665910005,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0058,-0.1632,-0.4014,-0.751,0.0002
2,Sum,Gaussian,143.63,"$f(t, I(t), Home(t))$",15,-0.4388,85.34793702199977,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0057,-0.1635,-0.4018,-0.7511,0.0002
26,Sum,Gaussian,152.52,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4757,76.6805347239997,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0092,0.0051,-0.1823,-0.4374,-0.8074,0.0001
20,Sum,Gaussian,116.19,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.4816,74.8137510460001,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0309,0.008,-0.1823,-0.461,-0.8015,0.0004
8,Sum,Gaussian,140.07,"$f(t, S(t)+I(t))$",15,-0.489,86.4727771150001,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1837,-0.447,-0.8361,0.0001
34,Sum,Gaussian,140.07,"$f(t, S(t)*I(t))$",15,-0.4892,86.34598217499979,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1839,-0.4473,-0.8365,0.0001
52,Product,Gaussian,133.29,"$f(t, S(t)*I(t), Home(t))$",15,-0.5111,87.43935532700016,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.012,0.0064,-0.1784,-0.4601,-0.8947,0.0011
28,Product,Gaussian,133.49,"$f(t, I(t), Home(t))$",15,-0.5137,87.72877220500004,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0122,0.0064,-0.1806,-0.4631,-0.8976,0.0011
35,Product,Gaussian,100.37,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.5818,78.63942240399999,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0091,0.0101,0.5279,0.6187,0.5988,0.001
51,Product,Gaussian,107.21,"$f(S(t)I(t), WKD(t), WORK(t), RCR(t))$",15,0.636,104.61075426900004,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0081,0.009,0.5779,0.6683,0.6617,0.0007
27,Product,Gaussian,-0.76,$f(t)$,15,0.66,87.50919925700009,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,2.191,0.0424,0.1584,0.6097,1.2117,0.1743
49,Product,Gaussian,100.39,"$f(S(t)I(t), WKD(t), HOME(t))$",15,0.6803,100.15876179599996,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0104,0.0103,0.6059,0.719,0.716,0.0024
12,Sum,Gaussian,134.15,"$f(t, S(t)^p, I(t)^p)$",15,-0.6905,86.07149111999979,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0767,0.0068,-0.354,-0.6955,-1.0219,0.0002
37,Product,Gaussian,145.41,"$f(S(t), I(t))$",15,-0.6986,87.48190339999996,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2569,0.006,-0.3959,-0.7117,-0.9881,0.0007
41,Sum,Gaussian,137.76,"$f(t, S(t), I(t))$",15,-0.7117,86.19964098699984,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0245,0.0066,-0.3159,-0.6791,-1.1403,0.0001
42,Sum,Gaussian,140.62,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.7142,75.8573615840005,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0308,0.0062,-0.2919,-0.6738,-1.1768,0.0001
0,Sum,Gaussian,150.27,$f(t)$,15,-0.8049,85.47062735400004,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1213,0.0044,-0.3246,-0.7503,-1.3397,-0.0001
19,Product,Gaussian,-50.92,"$f(WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.8632,93.93614401000002,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0801,0.0931,0.7353,0.9077,0.9465,0.0022
39,Product,Gaussian,41.91,$f(S(t)+I(t))$,15,0.9766,88.28165751400024,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7901,1.0131,1.1265,0.143
17,Product,Gaussian,41.87,$f(S(t)*I(t))$,15,0.9768,88.987363641,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7902,1.0133,1.127,0.143
38,Product,Gaussian,140.93,"$f(t, S(t)^p, I(t)^p)$",15,1.3777,86.14192164699989,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.9097,0.0069,0.2366,1.324,2.5724,0.0008
11,Sum,Gaussian,134.42,"$f(S(t), I(t))$",15,-1.3862,86.03066239400005,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0844,0.0072,-0.5816,-1.3799,-2.1971,0.0
